x pos      y pos     time     
255     119     456     
271     116     457     
288     115     458     
308     115     459     
328     115     460     
345     115     461     
362     115     462     
377     115     463     
389     115     464     
402     115     465     
414     114     466     
422     113     467     
429     112     468     
435     112     469     
441     112     470     
448     113     471     
456     114     472     
464     115     473     
470     116     474     
477     117     475     
483     119     476     
488     120     477     
491     121     478     
495     122     479     
498     122     480     
502     123     481     
505     124     482     
508     125     483     
510     126     484     
512     127     485     
516     130     486     
519     131     487     
523     134     488     
525     136     489     
529     139     490     
532     141     491     
534     142     492     
538     144     493     
540     145     494     
542     145     495     
544     147     496     
547     148     497     
556     150     498     
564     152     499     
577     154     500     
589     158     501     
597     161     502     
603     163     503     
606     164     504     
607     165     505     
607     166     506     
607     167     507     
528     215     508     
526     215     509     
521     216     510     
516     217     511     
507     217     512     
498     217     513     
488     217     514     
476     217     515     
463     214     516     
451     213     517     
435     209     518     
416     205     519     
397     201     520     
378     197     521     
359     193     522     
338     188     523     
316     184     524     
298     181     525     
281     178     526     
266     175     527     
253     172     528     
241     168     529     
231     166     530     
222     164     531     
214     161     532     
205     159     533     
198     157     534     
191     154     535     
181     150     536     
171     147     537     
161     143     538     
148     137     539     
135     130     540     
125     124     541     
117     121     542     
109     118     543     
104     116     544     
100     115     545     
97     114     546     
95     113     547     
93     113     548     
92     113     549     
91     113     550     
90     113     551     
88     113     552     
86     113     553     
82     114     554     
78     114     555     
72     115     556     
64     115     557     
56     115     558     
50     115     559     
46     116     560     
43     117     561     
41     117     562     
40     118     563     
39     119     564     
38     122     565     
38     125     566     
37     128     567     
36     134     568     
34     141     569     
31     148     570     
27     155     571     
24     162     572     
22     166     573     
20     170     574     
19     172     575     
18     173     576     
18     175     577     
18     176     578     
18     177     579     
18     178     580     
19     178     581     
20     180     582     
21     181     583     
22     181     584     
23     182     585     
123     212     586     
122     212     587     
122     211     588     
127     209     589     
136     205     590     
146     202     591     
158     198     592     
172     194     593     
191     185     594     
211     176     595     
232     169     596     
251     163     597     
268     160     598     
287     156     599     
311     149     600     
338     146     601     
365     142     602     
396     138     603     
432     131     604     
462     124     605     
490     124     606     
513     123     607     
528     122     608     
540     121     609     
550     120     610     
555     119     611     
561     119     612     
564     119     613     
566     119     614     
568     119     615     
569     119     616     
571     119     617     
572     120     618     
574     120     619     
576     121     620     
580     122     621     
584     123     622     
590     124     623     
593     124     624     
595     125     625     
596     125     626     
597     126     627     
599     127     628     
600     127     629     
601     127     630     
602     127     631     
603     127     632     
603     128     633     
77     210     634     
80     208     635     
84     205     636     
91     202     637     
99     199     638     
108     198     639     
118     195     640     
126     192     641     
135     190     642     
143     189     643     
150     189     644     
158     188     645     
167     187     646     
174     186     647     
179     186     648     
184     185     649     
187     185     650     
191     184     651     
196     183     652     
202     181     653     
209     180     654     
216     179     655     
224     179     656     
232     179     657     
240     179     658     
249     179     659     
257     179     660     
264     178     661     
271     177     662     
278     175     663     
287     173     664     
294     172     665     
299     171     666     
306     170     667     
313     170     668     
320     169     669     
327     168     670     
334     167     671     
342     166     672     
349     165     673     
354     164     674     
360     163     675     
367     162     676     
375     162     677     
384     162     678     
393     162     679     
401     161     680     
413     158     681     
424     157     682     
435     156     683     
446     155     684     
455     154     685     
465     153     686     
473     152     687     
480     151     688     
486     150     689     
493     149     690     
499     147     691     
505     146     692     
508     145     693     
511     144     694     
516     143     695     
519     142     696     
523     141     697     
529     140     698     
535     139     699     
541     138     700     
547     138     701     
553     138     702     
559     137     703     
564     136     704     
570     135     705     
573     134     706     
576     134     707     
579     134     708     
579     133     709     
580     133     710     
580     132     711     
581     131     712     
582     130     713     
583     130     714     
583     129     715     
584     129     716     
585     129     717     
586     129     718     
586     128     719     
587     128     720     
588     128     721     
587     128     722     
41     203     723     
46     201     724     
52     198     725     
61     195     726     
69     191     727     
79     188     728     
92     186     729     
107     183     730     
122     182     731     
135     182     732     
149     181     733     
159     180     734     
168     180     735     
179     180     736     
189     180     737     
198     179     738     
207     178     739     
214     177     740     
220     176     741     
225     175     742     
234     174     743     
242     172     744     
250     171     745     
261     170     746     
275     170     747     
290     170     748     
302     170     749     
314     170     750     
324     170     751     
334     169     752     
342     166     753     
350     166     754     
359     165     755     
367     165     756     
373     164     757     
378     164     758     
384     163     759     
388     162     760     
394     161     761     
399     159     762     
405     158     763     
412     157     764     
417     157     765     
426     156     766     
434     155     767     
443     155     768     
453     154     769     
463     153     770     
474     150     771     
484     148     772     
492     147     773     
500     147     774     
509     147     775     
515     147     776     
524     147     777     
532     148     778     
540     149     779     
546     149     780     
553     149     781     
559     149     782     
566     149     783     
571     148     784     
574     148     785     
577     148     786     
581     148     787     
584     147     788     
587     146     789     
590     146     790     
593     146     791     
595     146     792     
597     146     793     
599     146     794     
601     146     795     
604     146     796     
607     146     797     
611     146     798     
614     146     799     
617     145     800     
620     145     801     
623     145     802     
625     145     803     
627     145     804     
629     144     805     
631     143     806     
632     142     807     
633     142     808     
633     141     809     
632     141     810     
67     207     811     
72     207     812     
80     207     813     
88     207     814     
100     207     815     
113     207     816     
125     207     817     
137     207     818     
149     205     819     
162     204     820     
175     203     821     
189     202     822     
203     201     823     
215     199     824     
228     196     825     
240     195     826     
251     194     827     
263     193     828     
277     192     829     
288     192     830     
299     192     831     
308     192     832     
322     191     833     
333     190     834     
345     187     835     
357     186     836     
370     185     837     
381     182     838     
391     179     839     
401     176     840     
411     173     841     
420     170     842     
430     168     843     
440     165     844     
452     164     845     
467     163     846     
482     162     847     
499     161     848     
519     161     849     
534     161     850     
547     162     851     
560     163     852     
569     163     853     
578     163     854     
586     163     855     
589     163     856     
592     163     857     
594     162     858     
595     161     859     
595     160     860     
596     160     861     
596     159     862     
38     64     863     
38     65     864     
38     66     865     
39     68     866     
41     71     867     
45     73     868     
49     76     869     
54     80     870     
60     84     871     
66     87     872     
73     91     873     
79     94     874     
86     97     875     
92     100     876     
98     103     877     
104     106     878     
110     108     879     
116     110     880     
122     111     881     
128     113     882     
133     114     883     
139     116     884     
144     118     885     
150     120     886     
153     122     887     
156     123     888     
160     126     889     
164     129     890     
167     130     891     
171     131     892     
177     133     893     
183     135     894     
190     136     895     
196     137     896     
206     137     897     
214     138     898     
222     139     899     
230     139     900     
239     140     901     
251     140     902     
263     140     903     
276     140     904     
288     138     905     
302     137     906     
315     136     907     
330     136     908     
345     136     909     
359     138     910     
371     140     911     
381     143     912     
385     143     913     
391     143     914     
395     143     915     
397     142     916     
399     141     917     
401     140     918     
404     140     919     
409     139     920     
413     138     921     
418     137     922     
423     136     923     
428     136     924     
432     136     925     
436     136     926     
442     136     927     
447     137     928     
455     138     929     
463     139     930     
471     140     931     
480     141     932     
486     143     933     
491     145     934     
497     148     935     
502     152     936     
507     156     937     
513     160     938     
520     163     939     
526     166     940     
530     170     941     
535     173     942     
538     174     943     
540     176     944     
540     177     945     
541     177     946     
542     177     947     
570     228     948     
568     227     949     
562     226     950     
552     225     951     
543     224     952     
530     222     953     
518     221     954     
502     217     955     
486     213     956     
464     207     957     
439     201     958     
419     196     959     
400     192     960     
384     188     961     
371     184     962     
359     180     963     
347     174     964     
337     170     965     
328     166     966     
319     163     967     
310     160     968     
300     156     969     
290     152     970     
281     149     971     
271     146     972     
262     145     973     
254     144     974     
247     141     975     
240     140     976     
231     139     977     
223     138     978     
215     136     979     
205     133     980     
193     130     981     
181     127     982     
167     125     983     
150     121     984     
137     118     985     
126     116     986     
116     115     987     
107     113     988     
101     113     989     
97     113     990     
94     113     991     
91     112     992     
88     112     993     
85     112     994     
82     111     995     
79     111     996     
75     110     997     
71     110     998     
67     109     999     
65     109     1000     
63     109     1001     
62     109     1002     
61     108     1003     
60     108     1004     
59     108     1005     
57     108     1006     
57     109     1007     
56     110     1008     
55     113     1009     
55     116     1010     
54     119     1011     
54     124     1012     
54     130     1013     
55     138     1014     
56     148     1015     
57     158     1016     
58     166     1017     
59     171     1018     
59     174     1019     
60     174     1020     
60     175     1021     
61     175     1022     
61     176     1023     
63     177     1024     
63     178     1025     
64     178     1026     
64     179     1027     
64     180     1028     
64     181     1029     
64     182     1030     
64     184     1031     
64     185     1032     
64     186     1033     
64     187     1034     
65     188     1035     
66     188     1036     
66     189     1037     
66     190     1038     
67     190     1039     
134     219     1040     
134     217     1041     
136     216     1042     
138     214     1043     
140     214     1044     
144     212     1045     
150     210     1046     
155     209     1047     
164     206     1048     
173     203     1049     
181     200     1050     
191     196     1051     
201     193     1052     
213     188     1053     
229     185     1054     
242     182     1055     
257     179     1056     
273     176     1057     
288     175     1058     
301     172     1059     
310     170     1060     
320     166     1061     
331     163     1062     
343     160     1063     
355     157     1064     
369     154     1065     
383     152     1066     
396     149     1067     
406     148     1068     
416     147     1069     
421     146     1070     
426     145     1071     
429     145     1072     
432     144     1073     
434     144     1074     
435     143     1075     
435     142     1076     
436     142     1077     
437     142     1078     
439     141     1079     
444     140     1080     
452     139     1081     
462     139     1082     
472     138     1083     
483     137     1084     
492     137     1085     
502     137     1086     
511     137     1087     
521     138     1088     
531     139     1089     
540     140     1090     
549     140     1091     
555     140     1092     
561     140     1093     
563     140     1094     
564     141     1095     
564     142     1096     
563     143     1097     
562     143     1098     
533     221     1099     
533     220     1100     
532     220     1101     
530     219     1102     
526     218     1103     
522     217     1104     
518     216     1105     
512     215     1106     
504     215     1107     
491     214     1108     
479     213     1109     
456     212     1110     
426     207     1111     
407     203     1112     
394     199     1113     
381     195     1114     
371     190     1115     
362     186     1116     
356     182     1117     
350     175     1118     
345     171     1119     
341     168     1120     
339     165     1121     
335     163     1122     
332     160     1123     
328     157     1124     
325     156     1125     
319     154     1126     
313     151     1127     
307     150     1128     
301     148     1129     
293     146     1130     
282     143     1131     
269     141     1132     
254     139     1133     
239     138     1134     
222     136     1135     
205     133     1136     
193     128     1137     
183     124     1138     
176     121     1139     
170     119     1140     
164     117     1141     
159     114     1142     
156     113     1143     
153     112     1144     
151     111     1145     
149     110     1146     
147     109     1147     
145     109     1148     
143     108     1149     
141     107     1150     
139     107     1151     
137     106     1152     
134     106     1153     
131     105     1154     
127     104     1155     
124     103     1156     
121     103     1157     
116     103     1158     
110     102     1159     
103     101     1160     
95     100     1161     
89     100     1162     
85     99     1163     
82     99     1164     
79     99     1165     
79     98     1166     
78     98     1167     
76     98     1168     
74     98     1169     
70     99     1170     
64     100     1171     
59     100     1172     
53     100     1173     
49     100     1174     
46     100     1175     
43     99     1176     
40     98     1177     
39     98     1178     
38     97     1179     
37     96     1180     
36     95     1181     
35     95     1182     
35     94     1183     
34     93     1184     
32     92     1185     
32     91     1186     
31     90     1187     
30     90     1188     
30     88     1189     
29     88     1190     
28     86     1191     
27     85     1192     
26     84     1193     
26     83     1194     
26     82     1195     
26     81     1196     
26     80     1197     
26     79     1198     
